I am 18+ and consent to take part. I understand anomymised data will be published openly,Which of the following best describes your current work status? ,Do you use any AI-powered tools or features in your work or daily life?,"How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, search assistants, or productivity apps) in your daily life? ",I often feel mentally taxed when trying to guide or re-phrase prompts for digital or AI tools to get the result I want.  ,Figuring out whether digital or AI information is accurate or trustworthy drains my focus and mental energy. ,Switching between my own ideas and AI-generated suggestions makes it harder to stay in flow. ,I sometimes catch myself thinking about how to think when I use AI or digital systems. ,I lose track of what thoughts are mine versus what came from a digital or AI tool. ,Even brief sessions with digital or AI tools can leave my mind cluttered or overstimulated. ,I rely on digital or AI suggestions to make many everyday work or personal decisions.  ,"When digital or AI advice conflicts with my instinct, I usually follow the system’s recommendation. ",I feel less confident making decisions without digital or AI input. ,Letting AI or digital systems decide for me saves time but leaves me feeling detached from the outcome. ,"After following AI advice, I sometimes question whether the decision was truly mine. ",Using AI tools blurs the line between my judgment and automation. ,I worry that depending on digital or AI systems weakens my independent decision-making over time. ,"Even after I stop using AI or digital tools, my mind keeps replaying the interaction.  ",I find it hard to mentally switch off after spending time with digital or AI systems. ,I need time away from screens or AI tools to feel like myself again. ,Taking short breaks from AI or digital input helps me clear my head. ,"When I spend a day disconnected from AI or digital systems, my thinking feels calmer and more grounded. ",I feel uneasy or restless when I’m not able to use digital or AI tools for long periods. ,"In your own words, describe how using digital or AI tools affects your ability to think clearly, make decisions, or rest your mind.  ",What is your age group?,Country of residence,Which of the following best describes your gender?
Yes,Employed part-time,Yes,Sometimes,4,4,4,5,3,3,3,3,3,4,5,5,4,5,4,3,4,3,3,"I don’t really have too much of an issue in thinking clearly, making decisions  or resting my mind after using AI but there are times when I feel that it improves my confidence when I do so and I’m less sure of myself without it sometimes ",Over 65,UK,Woman
Yes,Retired,No,Rarely,6,5,4,3,1,5,1,1,1,1,4,7,6,1,1,1,7,4,1,It is sometimes difficult to determine if the AI interpreted my question correctly and has provided a plausible answer.,55 - 65,US,Woman
Yes,Employed part-time,No,Never,1,4,1,1,1,1,1,1,1,1,1,7,7,1,1,1,3,3,1,I avoid AI use as much as possible. AI makes me furious. I do feel  irritated by how hard it is to avoid now.,45 - 54,US,Woman
Yes,Employed part-time,Yes,Occasionally,5,6,4,5,3,4,5,3,4,4,5,5,6,4,5,6,6,6,3,"Using digital and AI tools helps with efficiency, but constant interaction can cloud my thinking and make decisions feel less grounded. It becomes harder to fully switch off, and I often need deliberate breaks to regain mental clarity and focus.",18 - 24,UK,Woman
Yes,Employed full time,Yes,Occasionally,3,5,4,4,2,3,2,5,2,6,6,6,4,4,5,6,6,7,1,I use AI in my work sometimes to help with wording emails that might need a little extra attention. I also use it for some data analysis but have to be careful about the results I get because it’s not always accurate.,45 - 54,US,Woman
Yes,Employed full time,Yes,Often,1,1,1,5,1,1,3,4,3,1,1,1,1,1,1,4,7,6,2,"AI greatly enhances my ability to write succintly and clearly and that's how I use it mainly at work. Personally, I use it for recipes and miscellaneous queries. I'm always able to think clearly and make my own decisions. It rests my mind by saving me time.",Over 65,US,Woman
Yes,Employed full time,Yes,Everyday,5,3,5,6,3,2,6,7,5,4,3,6,3,3,2,5,6,5,6,"Sometimes I feel like when AI generates output there is so much detail that it becomes very overwhelming which affects my ability to think clearly, make decisions and rest my mind.",25 - 34,UK,Man
Yes,Employed full time,Yes,Often,4,3,3,3,1,2,5,5,3,4,3,5,3,4,3,3,6,5,2,"It makes it easier for me to remember good ideas and to make decisions. And offers conceptual clarity and distinctions, making me think clearly.",25 - 34,UK,Man
Yes,Unable to work due to illness or disability,Yes,Sometimes,6,7,7,5,2,5,2,1,1,5,3,5,4,5,4,7,7,7,1,"Often AI gives an extremely long answer which takes a long time to read and could be answered more succinctly.   It's annoying to need to check every video, photo, or post that I see on social media to tell whether it's AI-generated or not, so the better it gets, the more alienated I feel, as it blurs reality vs propaganda.  Google AI overview is often wrong or extremely biased and there's no way to turn it off, and it's hard to ignore, which is worrying.   ",Over 65,US,Woman
Yes,Employed full time,Yes,Occasionally,1,2,4,4,1,3,2,1,1,4,3,4,4,2,1,2,4,4,4,It has no effect because I do not rely on AI in my business or personal life,45 - 54,US,Woman
Yes,Self-employed / freelance,Yes,Often,4,5,2,7,2,2,5,3,3,3,3,3,7,5,2,7,6,7,2,Some times instead of thinking I let AI trigger a thought and ideas then I follow thorough,45 - 54,US,Woman
Yes,Employed full time,Yes,Often,4,4,3,3,2,2,3,4,5,3,3,2,5,2,2,2,2,3,2,I honestly don’t think it effects it but I do rely on it more and find myself not trying to think as hard ,35 - 44,US,Man
Yes,Employed part-time,Yes,Often,2,3,2,1,1,1,2,1,1,4,2,1,2,1,1,4,4,3,1,"I generally use it to double check things I already think are the case, or to check variances in documents. Therefore I find it really helps me organise my thoughts and be more confident with my assertions. It doesn’t stress me out or worry me.",35 - 44,UK,Woman
Yes,Employed full time,Yes,Everyday,2,3,1,7,1,6,2,6,1,1,1,1,1,1,1,4,5,3,3,Depending on what I am doing AI can boost my creativity and give me new ideas for me to explore,55 - 65,UK,Man
Yes,Employed full time,Yes,Occasionally,4,6,2,5,6,6,5,3,5,7,7,7,7,5,5,5,6,6,6,It can just make me second guess myself sometimes when I have to make a decision on my own. I find myself wondering what AI would say,25 - 34,UK,Man
Yes,Employed full time,Yes,Often,5,3,5,7,7,7,3,7,1,4,7,7,7,3,4,5,7,7,1,"I find it draining and unpersonal as well as making me feel lazy since in the past I always preferred to use my own brain when working on a task, whereas now my job requires me to use it on a regular basis which clashes with what I think of AI in general (not very positively) ",25 - 34,UK,Woman
Yes,Employed full time,Yes,Sometimes,5,7,3,2,3,5,2,1,3,5,4,3,6,3,4,6,7,3,2,I can get more anxious about making decisions and wonder  if what I'm doing is good enough. It's also easy to be too reliant on AI and not check the results well enough because I want to save time.,45 - 54,New Zealand,Woman
Yes,Employed full time,Yes,Often,4,5,6,6,5,2,3,4,2,6,5,4,6,1,2,3,5,6,2,"Using digital and AI tools helps me find information quickly and solve problems easily. However, too much can distract me, make thinking harder and disrupt my sleep. When I use them wisely, they improve my decision making. Overuse makes it harder to rest my mind.",45 - 54,UK,Man
Yes,Employed full time,Yes,Often,1,1,3,2,1,1,1,3,1,6,4,2,7,1,1,1,7,5,1,"I feel it encourages me to refine my ideas, which makes me think more. ",35 - 44,US,Man
Yes,Self-employed / freelance,Yes,Everyday,1,1,1,6,1,1,5,1,7,4,1,1,1,1,4,1,2,2,1,it helps me to make decisions and to think more clearly. it does also sometimes help me to rest my mind.,25 - 34,UK,Woman
Yes,Employed full time,Yes,Often,3,2,2,2,2,2,5,5,4,5,6,5,5,6,5,5,6,4,3,Whenever I use AI and it gives me advice that doesn’t turn out good it messes with my thoughts and mind.,35 - 44,US,Man
Yes,Unemployed and looking for work,Yes,Very often,3,5,4,4,3,4,6,4,4,4,3,4,3,5,4,4,3,4,4,"Using digital and AI tools helps me think and decide faster, but it can also make my mind feel crowded if I rely on them too much. They’re useful for organizing information, yet sometimes I need to step away from screens to think clearly and give my mind a break.",25 - 34,US,Man
Yes,Employed full time,Yes,Never,5,5,3,3,2,3,4,5,4,5,3,2,5,3,3,2,4,3,3,it makes me doubt myself,45 - 54,UK,Woman
Yes,Homemaker / caring for family,Yes,Very often,5,5,2,4,2,6,2,2,2,4,1,2,4,5,4,4,5,4,5,often the information given is not clear or needs more information. so it affects coming to decisions or completing tasks,35 - 44,UK,Woman
Yes,Employed part-time,Yes,Often,5,4,3,5,2,4,3,3,2,3,2,3,3,3,3,3,5,5,1,It’s just so much screen basically,25 - 34,UK,Woman
Yes,Employed full time,Yes,Everyday,2,5,3,5,2,2,7,3,3,5,3,7,5,3,3,5,6,4,4,Using AI supports my reasoning and thinking process when making every decision.,55 - 65,New Zealand,Man
Yes,Homemaker / caring for family,No,Rarely,2,2,2,2,2,2,1,4,2,4,2,2,5,1,2,1,6,6,1,You become automated in the information that you are gathering and not all outcomes is based on your own information ,35 - 44,UK,Woman
Yes,Employed full time,Yes,Very often,3,6,4,6,2,3,3,3,3,5,4,6,5,2,3,2,4,4,2,"It's not so much thinking clearly, but rather what you hinted at, that my decisions feel slighlty less mine because AI was involved in the process. This feels scary.",25 - 34,US,Man
Yes,Employed full time,Yes,Everyday,5,7,6,3,6,7,3,1,5,5,7,7,7,3,5,6,5,6,7,AI tools confuse me a lot as they often have imputs I want but also imputs I do not like so it makes me stress out sometimes and making decisions becomes harder because I do not know whom to trust anymore.,25 - 34,UK,Man
Yes,Employed full time,Yes,Very often,5,1,1,5,1,1,6,6,2,2,1,1,1,1,1,1,5,5,1,using AI tools helps me to see things in different ways. it helps me make decisions faster,35 - 44,US,Man
Yes,Employed full time,Yes,Very often,5,6,5,6,4,6,5,6,6,4,6,5,6,1,1,1,4,6,2,It helps me to manage daily tasks in everyday life so I can focus more on other things and tasks.,18 - 24,UK,Woman
Yes,Employed full time,Yes,Often,5,7,4,3,3,4,3,4,2,6,6,6,7,2,2,1,3,4,4,Sometime I become less confident in my own decision making abilities.,45 - 54,UK,Man
Yes,Employed part-time,Yes,Rarely,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AI tools can make it difficult to tell what is authentic or legitimate in online spaces where it can easily masquerade as human. This can lead to a general distrust in art and writing.,25 - 34,US,Man
Yes,Employed full time,Yes,Sometimes,3,6,2,2,3,2,5,3,3,3,5,5,3,2,2,2,2,2,1,"Using digital or AI tools helps me think more clearly by walking me through the thought process of how we arrived at the answer and why it makes sense.It helps me make decisions usually by providing many thoughts, sides, or perspectives on things that I may not have thought of. Then, I can better make my choice or decision because I have more information or perspectives on the subject. I wouldn't say AI or digital tools rest my mind, per say. I do feel like it lessens the load and allows me to use less brain power, which makes the whole thing easier and less stressful.",35 - 44,US,Woman
Yes,Student,Yes,Everyday,3,2,2,3,2,2,5,4,5,2,3,3,3,2,2,1,2,2,3,it helps me make decisions and think clearer as it explains all aspects of the decision i ask it to tell me more about.,18 - 24,UK,Man
Yes,Retired,Yes,Everyday,1,2,2,2,2,2,2,1,3,2,2,2,1,1,1,1,1,1,1,Using AI tools like chat GPT does not affect my ability to think clearly if anything is helps me make decisions regarding purchasing items or deciding how to do something. I actually find using chat GPT allows my mind to be cleared rather than spending ages thinking about something I can get a quick answer from chance GPT and then can move on.,Over 65,UK,Man
Yes,Employed full time,Yes,Sometimes,4,4,4,4,4,4,5,4,3,4,4,4,4,1,1,1,4,4,1,I think AI makes decision making easier in general which makes everything more clear. ,25 - 34,US,Man
Yes,Self-employed / freelance,No,Never,1,2,1,1,1,1,1,1,1,6,6,7,7,1,1,4,6,7,1,"I don't trust AI, and I don't trust people who use AI. I make fun of AI whenever I do a survey with AI chatbot in it. The liberal bias is obvious. Woke is written into it, and I pity people who need woke AI to tell them how to think. I prefer to use my own mind. I can think for myself. ",55 - 65,US,Man
Yes,Unable to work due to illness or disability,No,Never,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,i have only used for studies that required me so don't have much experience although think they are good,55 - 65,UK,Woman
Yes,Employed full time,Yes,Sometimes,2,3,4,3,1,2,2,1,2,3,2,2,1,1,2,1,1,1,1,"I can confidently say that AI has no impact on my ability to think or make decisions.  I use it only as an aid, and to assist with drafting or answer a problem for me, but generally I prefer to rely on my own reasoning abilities.",45 - 54,UK,Man
Yes,Employed full time,Yes,Occasionally,3,3,3,5,3,3,2,3,3,4,5,5,4,3,3,5,4,5,2,"If I don't check every little thing, there's uncertainty about using it.",45 - 54,US,Man
Yes,Employed part-time,Yes,Often,1,2,2,3,1,1,1,1,1,5,3,4,6,1,1,1,2,3,1,I think when I use AI tools too much I become less focused on the smaller details because I think that the AI will take care of it and that can lead to some oversight.,35 - 44,US,Man
Yes,Self-employed / freelance,No,Rarely,7,7,7,4,4,7,1,1,1,4,4,4,6,2,1,4,4,4,1,"AI output isn't always accurate, and it doesn't always understand exactly what you are looking for, and being alert for this and double checking is time consuming and tiring. Even so, AI doesn't impact my ability to think clearly, or 'think for myself'.",55 - 65,UK,Woman
Yes,Employed full time,Yes,Occasionally,4,3,4,3,2,5,2,2,1,3,4,4,6,2,3,5,5,7,1,I sometimes question where the AI information actually comes from and whether it truly is reliable. I would rather just be able to trust it.,55 - 65,US,Woman
Yes,Employed full time,Yes,Everyday,5,6,4,5,6,3,5,6,3,5,6,6,5,6,4,3,7,5,4,It affects my critical thinking,35 - 44,UK,Man
Yes,Employed part-time,Yes,Sometimes,5,5,3,4,3,3,1,1,2,4,4,2,5,2,1,3,6,5,2,If anything it makes me think less then I start ton worry that I am not using my own mind and just trying to put the load onto AI and take a back seat ,25 - 34,UK,Woman
Yes,Employed full time,Yes,Very often,2,2,2,4,2,1,7,6,2,6,2,1,4,2,2,6,7,7,1,I appreciate using digital and AI tools. It helps me to not think so hard. My daily work requires a lot of research and figuring out problems. AI is a big help to me and allows me to get my work done faster and to give my brain a break.,55 - 65,US,Woman
Yes,Employed full time,Yes,Often,3,5,5,5,5,5,3,3,3,4,2,5,6,1,1,6,6,6,3,"Well you feel as if your decisions aren’t yours, they are not unique to you, you know yourself better than anyone does and this can make you question your ability to think freely ",25 - 34,UK,Woman
Yes,Employed full time,Yes,Very often,2,3,4,6,2,2,3,2,1,5,4,3,4,1,1,1,4,4,3,"AI has been significant in automatic mundane tasks and helped me develop med-legal writing to better write progress notes. While AI has been useful at work, it has been detrimental to me academically, especially during my data structures course. I found myself constantly referencing it and using it to solve my problems instead of using it more like a glossary. I've changed my approach now and feel at ease. However, I would have had a different perspective three weeks ago.",25 - 34,US,Man
Yes,Unemployed and looking for work,No,Sometimes,6,6,5,5,4,5,4,4,5,3,5,5,5,5,5,5,5,4,4,using AI makes me question some of my choices and decisions ,55 - 65,US,Man
Yes,Employed full time,Yes,Everyday,2,4,2,4,1,1,1,2,1,5,6,4,6,1,1,5,7,6,1,AI supports my own decision making process but never dominates.,55 - 65,Australia,Man
Yes,Employed full time,Yes,Everyday,2,3,3,4,5,2,5,5,6,5,4,2,4,5,5,4,5,5,2,it all depends on the scenario,25 - 34,UK,Man
Yes,Self-employed / freelance,Yes,Rarely,4,7,5,2,2,2,1,1,1,2,1,2,4,1,1,3,3,2,1,IT doesn't really. I rarely use AI tools for work or personnal use,35 - 44,Australia,Man
Yes,Employed full time,Yes,Sometimes,7,7,7,4,1,7,1,1,1,4,4,1,1,1,1,1,4,7,1,Personally it has no affect on me other than I just deeply hate using it. I only touch that useless shit because it's required at work.,25 - 34,US,Man
Yes,Unemployed and looking for work,Yes,Very often,6,3,2,5,1,4,5,5,6,3,5,3,5,1,1,2,3,3,1,They make it harder not to feel so anxious and make me a bit overstimulated at times.,55 - 65,US,Man
Yes,Unemployed and looking for work,Yes,Sometimes,5,6,5,6,2,6,2,2,3,7,7,7,7,5,5,3,4,5,1,It affects my ability to think rationally. It undermines my confidence in my own thought processes at times. The process from question to answer can feel somewhat saltatory at times.,35 - 44,US,Man
Yes,Employed full time,No,Occasionally,2,3,4,4,1,2,1,1,1,4,4,3,6,1,1,1,4,4,1,I avoid using it unless absolutely necessary. I believe it reduces people's critical thinking skills,25 - 34,UK,Man
Yes,Employed full time,Yes,Occasionally,4,2,3,4,5,3,2,5,2,5,6,5,5,2,2,3,5,4,1,"I think AI got me personally is to just get a better understanding of something, or assist with wording. It can sometimes make you question ideas but i don’t believe it has a big affect on my mind ",18 - 24,UK,Woman
Yes,Employed part-time,Yes,Occasionally,4,5,5,4,5,4,4,4,4,4,5,5,7,3,3,3,4,5,5,Using AI tools over a long period of time makes your brain lazy and slow. It makes you second guess your sentences ,25 - 34,UK,Woman
Yes,Employed full time,Yes,Sometimes,3,3,2,3,2,2,2,2,2,5,2,2,5,3,2,2,3,2,2,Using AI forces me to think through what I am actually trying to achieve so I can articulate it in prompts,45 - 54,Australia,Man
Yes,Employed full time,Yes,Everyday,1,2,3,2,2,3,5,4,3,5,5,6,7,2,3,5,6,7,2,I worry the AI system is not giving me the correct information so it's gives me anxiety ,25 - 34,UK,Woman
Yes,Self-employed / freelance,Yes,Very often,1,1,1,1,1,1,5,4,1,2,1,1,1,2,1,1,7,4,1,"It gives me more confidence towards the decisions I am already making. At first I depended on it too heavily then realized I need to take my time and teach it, ever since then I have found a niche for it.",35 - 44,US,Man
Yes,Homemaker / caring for family,Yes,Very often,2,2,3,1,2,1,2,2,1,3,2,2,5,1,1,1,5,2,1,Using AI tools don't really affect my ability to think clearly or make decisions I use it as a supplement and aid,55 - 65,US,Woman
Yes,Employed full time,No,Sometimes,4,5,5,5,4,4,5,6,5,5,5,5,2,2,2,2,2,2,2,"Using digital or AI tools helps me make quicker decisions, but constant use can clutter my mind and make it harder to fully switch off",25 - 34,UK,Man
Yes,Employed full time,Yes,Everyday,5,3,3,3,6,5,6,6,3,5,7,5,4,5,3,5,5,3,6,"we rely Alon AI to find info quicker, we rely more and more on AI and we become more and more lazy",35 - 44,UK,Man
Yes,Self-employed / freelance,No,Rarely,5,4,1,1,1,5,2,1,1,2,1,4,1,2,1,6,7,7,3,I'm not really very reliant on using AI tools so they don't have any notable impact on my decision making or thinking clearly.,45 - 54,UK,Man
Yes,Employed full time,Yes,Occasionally,5,6,6,6,6,3,4,5,4,4,3,2,2,3,4,6,4,2,3,It can be helpful but also annoying,25 - 34,US,Woman
Yes,Employed full time,Yes,Everyday,5,4,2,2,2,2,5,5,2,2,2,2,2,1,1,1,4,1,1,"It doesn't, I think it makes it easy and provides better insight to help make a more better informed decision. ",35 - 44,UK,Man
Yes,Self-employed / freelance,No,Occasionally,7,7,7,7,7,7,3,2,2,7,7,7,7,1,1,7,3,2,1,When I need books to read and clarification on news or a concept I don't get.,55 - 65,US,Prefer not to say
Yes,Self-employed / freelance,Yes,Very often,4,4,2,6,2,3,5,2,2,4,2,2,3,2,1,1,2,2,1,I believe a large amount of screen time requires a break from it for short periods of time to rest the mind.,45 - 54,US,Woman
Yes,Retired,No,Often,1,1,3,5,1,1,5,4,4,3,3,3,5,2,2,1,4,2,2,Sometimes i think that i am relying on AI that i am getting lazy in my own way of problem solving and making decisions for myself,45 - 54,UK,Woman
Yes,Self-employed / freelance,Yes,Everyday,5,5,4,5,4,3,4,4,2,4,4,3,4,4,4,4,5,4,2,"Using digital and AI tools helps me get information quickly, but sometimes it makes my mind feel tired. I have to think a lot about whether the information is correct and how to ask the right questions. This can make it harder to think clearly or relax. Even though the tools are useful, they can also add extra mental effort.",25 - 34,UK,Man
Yes,Employed full time,Yes,Everyday,5,7,3,6,6,7,5,6,1,6,6,7,7,2,2,5,7,7,1,It creates this high level of dependence. You tend to rely on it for virtually every thinking task even ones you would originally easily complete on your own,35 - 44,UK,Man
Yes,Self-employed / freelance,Yes,Occasionally,3,5,3,3,3,3,2,3,3,5,5,5,5,2,2,2,4,3,4,It really hasn't affected much so far. I think the only thing is maybe I might want to get a second opinion using an ai tool before making a big decision.,35 - 44,US,Man
Yes,Self-employed / freelance,Yes,Often,4,6,4,3,2,5,4,3,3,4,3,3,2,1,1,1,3,5,2,"AI is useful as a general guide and provide alternate paths to pursue, it is good for brainstorming ideas and as a shorthand to check general information on a topic to provide an overview. I feel I can gain a quick overall grasp of an unfamiliar topic and there is a sense of overconfidence in thinking that it is a solid grasp. I sometimes make decisions based on what AI says but if the decision is an important one I will seek further information at the source and get a second or more opinions.",45 - 54,Australia,Woman
Yes,Homemaker / caring for family,Yes,Often,2,2,2,3,2,3,2,4,4,3,2,3,6,3,2,4,3,4,2,I don't think it affects me negatively. Instead it helps me with suggestions helping me feel more confident in what I was looking for.,35 - 44,US,Woman
Yes,Employed full time,No,Sometimes,2,1,4,1,1,1,4,5,4,6,7,7,7,1,1,4,4,5,1,It makes me less confident about making my own decisions. But also saves me time,25 - 34,UK,Man
Yes,Self-employed / freelance,Yes,Often,4,4,2,2,1,1,1,1,1,1,5,2,1,1,1,1,5,3,1,"It doesn't. I question everything, AI is useful but it's far from perfect. I use it to save time, but often I need to do my own research to make sure facts are correct. ",45 - 54,Ireland,Man
Yes,Self-employed / freelance,Yes,Often,1,1,2,1,1,1,2,4,3,1,1,1,1,1,1,1,1,1,2,I do not have any issues with using AI and feel it has no negative impacts on my thinking of decisions,35 - 44,UK,Man
Yes,Employed full time,Yes,Sometimes,5,4,4,5,2,3,3,2,4,6,6,7,6,2,2,4,6,5,3,"I think any screen time (AI included) keeps your brain active and ""buzzing"" so harder to powder down/switch off. In terms of decision making, I find myself worrying that I begin to rely more and more on AI so it erodes my ability to make any decision myself without AI back up",35 - 44,UK,Man
Yes,Employed full time,Yes,Everyday,3,5,2,6,1,5,6,4,2,2,5,4,5,5,1,1,7,5,1,"Using digital and AI tools helps me process information quickly and offload some decisions, freeing up mental space. However, constant notifications and inputs can fragment my focus and make it harder to rest my mind.",Over 65,US,Man
Yes,Employed full time,Yes,Everyday,6,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,4,5,5,"Using digital or AI tools can make it easier for me to think clearly because they help organize information, explain complex ideas, and offer quick guidance when I feel stuck.",35 - 44,US,Man
